KGCode,Katastralgemeinde,EZ,PLZ,Straße,ON,Gst,GstFl,ErwArt,Widmung,Bauklasse,Gebäudehöhe,Bauweise,Zusatz,Schutzzone,Wohnzone,öZ,Bausperre,seitbis,zuordnung,Geschoße,parz,Erwerbsdatum,Anteile,Zähler,Nenner,BJ,TZ,Kaufpreis,mGfl,Baureifgest,percentWidmung,Baurecht,Bis,aufEZ,Stammeinlage,sonstwid,sonstwidprz,address,one_more_time,lon,lat,price_m2,price_log,train,cluster
01502,Grinzing,1419,1190,krapfenwaldgasse,11,67/8,974,Kaufvertrag,W,I,6.5,o,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",NA,NA,28.01.2013,NA,1,1,NA,870/2013,2834950,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"krapfenwaldgasse, 11, vienna, austria",FALSE,16.3379898,48.2597366,2910.6262833675564,11.507113897827974,1,2
01502,Grinzing,1397,1190,unterer schreiberweg,111,676/4,1034,Kaufvertrag,W,I,6.5,o,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",NA,J,19.09.2012,NA,1,1,1977,103/2013,2800000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"unterer schreiberweg, 111, vienna, austria",FALSE,16.3417471,48.2605094,2707.9303675048354,11.402974926179482,0,NA
01513,Untersievering,1081,1190,reinischgasse,11,746/3,2695,Kaufvertrag,WI/GBI,NA,NA,NA,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",NA,NA,24.06.1992,1/1,1,1,1900,3681/92,2565351,0,FALSCH,40,FALSCH,NA,NA,FALSCH,SWW,I,"reinischgasse, 11, vienna, austria",TRUE,16.3285498,48.2540497,951.8927643784787,9.894655245436734,1,2
01510,Pötzleinsdorf,1457,1180,starkfriedgasse,43,165/1,2240,Kaufvertrag,WI/GBI,NA,NA,NA,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",2,NA,07.09.1999,NA,1,1,0,5315/99,2543549,0,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"starkfriedgasse, 43, vienna, austria",FALSE,16.3115066,48.2430517,1135.5129464285715,10.149128439532797,1,2
01205,Hietzing,288,1130,hietzinger hauptstrasse,29,240/50,1631,Kaufvertrag,W,II,4.5,o,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",2,NA,29.06.2007,NA,1,1,1900,2025/07,2500000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"hietzinger hauptstrasse, 29, vienna, austria",FALSE,16.2965235,48.186602,1532.8019619865113,10.581955597499652,1,1
01503,Heiligenstadt,1173,1190,unterer schreiberweg,20,613/61,1685,Kaufvertrag,W,I,7.5,o gk,BB,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",2,J,11.05.2009,NA,1,1,NA,3780/2009,2500000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"unterer schreiberweg, 20, vienna, austria",FALSE,16.3489916,48.2587784,1483.679525222552,10.534963788142315,1,2
01509,Obersievering,779,1190,gspoettgraben,2,36/4,900,Kaufvertrag,W,I,4.5,o,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",2,J,28.01.2011,NA,1,1,NA,1768/2011,2500000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"gspoettgraben, 2, vienna, austria",FALSE,16.3137829,48.2564019,2777.777777777778,11.4397154729945,1,2
01502,Grinzing,754,1190,paul-ehrlich-gasse,4,450/19,2368,Kaufvertrag,W,I,7.5,o,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",3,J,28.11.2014,NA,1,1,1920,2413/2015,2500000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"paul-ehrlich-gasse, 4, vienna, austria",FALSE,16.3372185,48.2519258,1055.7432432432433,10.044043298582586,1,2
01514,Währing,1671,1180,gregor-mendel-strasse,25,995/4,1696,Kaufvertrag,WII/GBII,NA,NA,NA,NA,WAHR,FALSCH,FALSCH,WAHR,seit 14.2.1991,"Ein-, Zweifamilienhaus",NA,NA,11.07.1991,1/1,1,1,1897,3498/91,2496312,0,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"gregor-mendel-strasse, 25, vienna, austria",TRUE,16.3375253,48.23300889999999,1471.882075471698,10.523446374571131,1,2
01806,Mauer,5675,1230,im gereute,3,599/2,1753,Kaufvertrag,W,I,6.5,o,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",2,J,01.06.2012,NA,1,1,1990,20452/2012,2480000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"im gereute, 3, vienna, austria",FALSE,16.2628294,48.1551205,1414.717626925271,10.466298409176787,1,1
01503,Heiligenstadt,1202,1190,rudolf-kassner-gasse,13,645/4,1252,Kaufvertrag,W,I,7.5,o gk,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",3,J,31.07.2015,NA,1,1,1978,4918/2015,2450000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"rudolf-kassner-gasse, 13, vienna, austria",FALSE,16.3504627,48.2553268,1956.8690095846646,10.934331471619402,1,2
01512,Unterdöbling,572,1190,hungerbergstrasse,18,403/12,1033,Kaufvertrag,W,I,7.5,o gk,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",2,J,08.10.2015,NA,1,1,1977,5678/2015,2439676,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"hungerbergstrasse, 18, vienna, austria",TRUE,16.3452982,48.2496952,2361.73862536302,11.205633594546255,0,NA
01209,Ober St.Veit,1266,1130,beckgasse,39,1270/8,1135,Kaufvertrag,W,II,10.5,o,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",3,NA,25.07.2007,NA,1,1,1900,2165/07,2425000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"beckgasse, 39, vienna, austria",FALSE,16.2826964,48.1843963,2136.5638766519824,11.061076734445662,1,1
01205,Hietzing,117,1130,gloriettegasse,8,423,2281,Kaufvertrag,W,II,10.5,o,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",3,J,29.11.2005,NA,1,1,1900,2821/2005,2400000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"gloriettegasse, 8, vienna, austria",FALSE,16.2959714,48.1816702,1052.170100832968,10.03915224384583,0,NA
01806,Mauer,141,1230,maurer hauptplatz,8,551/1,2334,Kaufvertrag,W,I,6.5,g,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",2,NA,01.08.2007,NA,1,1,1950,2760/07,2370000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"maurer hauptplatz, 8, vienna, austria",FALSE,16.2679634,48.1511183,1015.4241645244216,9.98786678274036,0,NA
01510,Pötzleinsdorf,395,1180,hawelgasse,23,554/57,1936,Kaufvertrag,WI/GBI,NA,NA,NA,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",NA,NA,29.04.1995,1/1,1,1,0,2493/96,2361867,0,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"hawelgasse, 23, vienna, austria",TRUE,16.3067495,48.2390897,1219.9726239669421,10.252633058917246,1,2
01510,Pötzleinsdorf,13,1180,poetzleinsdorfer strasse,56,202,2001,Kaufvertrag,W,I,7.5,g,Schutzzone,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",3,J,25.06.2014,NA,1,1,1960,3786/2014,2350000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"poetzleinsdorfer strasse, 56, vienna, austria",FALSE,16.3116624,48.24100989999999,1174.4127936031985,10.197723874208709,1,2
01207,Lainz,732,1130,pacassistrasse,25,140/27,914,Kaufvertrag,W,I,7.5,o,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",2,J,11.12.2013,NA,1,1,1923,2931/13,2340000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"pacassistrasse, 25, vienna, austria",FALSE,16.2890355,48.17459720000001,2560.1750547045954,11.322026744074785,1,1
01514,Währing,2351,1180,severin-schreiber-g.,8,1128/1,2326,Kaufvertrag,WII/GBII,NA,NA,NA,NA,FALSCH,FALSCH,FALSCH,WAHR,seit 14.2.1991,"Ein-, Zweifamilienhaus",NA,NA,29.04.1991,1/1,1,1,1927,3064/91,2325531,0,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"severin-schreiber-g., 8, vienna, austria",TRUE,16.3307297,48.2325245,999.798366294067,9.965493359383304,1,2
01209,Ober St.Veit,2658,1130,meytensgasse,40,1172/37,1083,Kaufvertrag,W,II,10.5,o,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",3,NA,30.03.2006,NA,1,1,1900,1041/06,2300000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"meytensgasse, 40, vienna, austria",FALSE,16.2745738,48.186541,2123.730378578024,11.052384902885498,1,1
01502,Grinzing,164,1190,schreiberweg,108,693/1,946,Kaufvertrag,W,I,6.5,o,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",2,J,11.08.2011,NA,1,1,NA,4708/2011,2300000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"schreiberweg, 108, vienna, austria",FALSE,16.340375,48.2611141,2431.289640591966,11.24750605715443,1,2
01502,Grinzing,1193,1190,cobenzlgasse,130,914/5,1718,Kaufvertrag,W,I,6.5,o,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",NA,J,15.03.2016,NA,1,1,NA,3413/2016,2300000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"cobenzlgasse, 130, vienna, austria",FALSE,16.3285211,48.2655215,1338.7660069848662,10.386688109355362,1,2
01806,Mauer,465,1230,lindgrabengasse,25,763/1,2286,Kaufvertrag,W,I,6.5,o,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",2,NA,28.02.2008,NA,1,1,1960,1133/08,2286000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"lindgrabengasse, 25, vienna, austria",FALSE,16.3519321,48.2003803,1000,9.965784284662087,1,3
01806,Mauer,1957,1230,anton-krieger-gasse,72,1504/12,1449,Kaufvertrag,WI/GBI,NA,NA,NA,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",NA,NA,05.09.1996,1/1,1,1,0,NA,2252858,0,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"anton-krieger-gasse, 72, vienna, austria",TRUE,16.2718769,48.142791,1554.7674258109041,10.602483071626416,1,1
01209,Ober St.Veit,2045,1230,schweizertalstrasse,24,688/3,1856,Kaufvertrag,W,II,NA,o,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",2,J,19.09.2006,NA,1,1,1880,1/2006,2250000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"schweizertalstrasse, 24, vienna, austria",FALSE,16.264067,48.1861403,1212.2844827586207,10.243512575638915,0,NA
01805,Liesing,1241,1230,lechthalergasse,43,465/1,2101,Kaufvertrag,W,I,6.5,o,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",1,NA,18.08.2004,NA,1,1,1950,3100/04,2200000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"lechthalergasse, 43, vienna, austria",FALSE,16.263204000000002,48.1398725,1047.1204188481674,10.032211646401063,0,NA
01807,Rodaun,727,1230,an der au,6,207/60,943,Kaufvertrag,W,I,6.5,o,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",2,J,13.05.2015,NA,1,1,2012,1931/15,2200000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"an der au, 6, vienna, austria",TRUE,16.2695018,48.16127710000001,2332.979851537646,11.187958132399013,1,1
01510,Pötzleinsdorf,750,1180,starkfriedgasse,62,362/36,1039,Kaufvertrag,W,I,7.5,o gk,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",2,J,30.10.2015,NA,1,1,2003,7646/2015,2200000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"starkfriedgasse, 62, vienna, austria",TRUE,16.3096512,48.245979,2117.4205967276225,11.048092154169897,1,2
01508,Oberdöbling,900,1190,felix-mottl-strasse,23,869/43,737,Kaufvertrag,WII/GBII,NA,NA,NA,NA,WAHR,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",NA,NA,23.08.1995,1/1,1,1,0,5812/95,2180185,0,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"felix-mottl-strasse, 23, vienna, austria",TRUE,16.3434686,48.2345155,2958.188602442334,11.530498320579186,1,2
01506,Neustift am Walde,456,1190,peter-altenberg-gasse,34,488/9,890,Kaufvertrag,W,I,7.5,o gk,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",2,J,30.09.2015,NA,1,1,1937,7675/2015,2150000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"peter-altenberg-gasse, 34, vienna, austria",FALSE,16.2918002,48.2506661,2415.7303370786517,11.23824370328515,1,2
01209,Ober St.Veit,1800,1130,goldmarkplatz,4,1172/76,1201,Kaufvertrag,WI/GBI,NA,NA,NA,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",0,NA,11.04.1998,1/1,1,1,0,NA,2107512,0,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"goldmarkplatz, 4, vienna, austria",FALSE,16.2763862,48.1861213,1754.7976686094921,10.777088979396195,1,1
01502,Grinzing,578,1190,krapfenwaldgasse,38,772/1,2308,Kaufvertrag,WI/GBI,NA,NA,NA,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",NA,NA,02.02.1996,1/1,1,1,0,913/96,2071176,0,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"krapfenwaldgasse, 38, vienna, austria",TRUE,16.3367695,48.2639354,897.3899480069324,9.809591213724607,1,2
01205,Hietzing,244,1130,lainzer strasse,8,244/1,1162,Kaufvertrag,W,II,NA,NA,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",NA,NA,08.07.2004,NA,1,1,1900,2000/2004,2050000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"lainzer strasse, 8, vienna, austria",FALSE,16.296882,48.1857226,1764.1996557659209,10.784798125650367,1,1
01512,Unterdöbling,494,1190,iglaseegasse,62,414/13,1011,Kaufvertrag,W,I,NA,o,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",2,J,22.12.2015,NA,1,1,1970,792/2016,2050000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"iglaseegasse, 62, vienna, austria",FALSE,16.34302,48.2477443,2027.6953511374877,10.985625197151881,1,2
01510,Pötzleinsdorf,264,1180,poetzleinsdorfer str.,162,515/3,2117,Kaufvertrag,WI/GBI,NA,NA,NA,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",2,J,10.11.2000,NA,1,1,0,1624/01,2034839,0,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"poetzleinsdorfer str., 162, vienna, austria",FALSE,16.3004475,48.2433087,961.189891355692,9.90867766578339,1,2
01514,Währing,1560,1180,cottagegasse,27,982/3,1018,Kaufvertrag,WII/GBII,NA,NA,NA,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",3,NA,03.09.2001,NA,1,1,0,5569/01,2021758,0,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"cottagegasse, 27, vienna, austria",FALSE,16.3408341,48.23119639999999,1986.0098231827112,10.955657043390376,1,2
01207,Lainz,1088,1130,nothartgasse,28,295/2,1032,Kaufvertrag,W,I,7.5,o,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",2,J,11.07.2014,NA,1,1,NA,2058/14,2014760,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"nothartgasse, 28, vienna, austria",FALSE,16.2774361,48.1803194,1952.2868217054263,10.930949307774952,1,1
01207,Lainz,322,1130,sauraugasse,16,336/16,1021,Kaufvertrag,W,I,7.5,o,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",2,J,17.02.2004,NA,1,1,1920,527/2004,2000000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"sauraugasse, 16, vienna, austria",FALSE,16.279296,48.178969,1958.8638589618022,10.935801418446372,1,1
01205,Hietzing,41,1130,altgasse,23,56/1,703,Kaufvertrag,W,III,13.5,g,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",3,J,20.02.2007,NA,1,1,1900,582/2007,2000000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"altgasse, 23, vienna, austria",FALSE,16.2980042,48.1853987,2844.950213371266,11.47418769025164,1,1
01209,Ober St.Veit,2594,1130,goldmarkplatz,10,1216/41,916,Kaufvertrag,W,I,6.5,o,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",3,J,21.06.2011,NA,1,1,1990,1662/2011,2000000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"goldmarkplatz, 10, vienna, austria",FALSE,16.2778513,48.18534340000001,2183.406113537118,11.09236478122723,1,1
01209,Ober St.Veit,1407,1130,himmelhofgasse,16,520/100,913,Kaufvertrag,W,I,7.5,o,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",NA,J,09.04.2014,NA,1,1,NA,1088/14,2000000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"himmelhofgasse, 16, vienna, austria",FALSE,16.260102,48.1899409,2190.580503833516,11.097097519339952,1,1
01511,Salmannsdorf,214,1190,celtesgasse,13,181/4,808,Kaufvertrag,W,I,5.5,o,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",3,J,07.01.2014,NA,1,1,1930,1724/2014,2000000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"celtesgasse, 13, vienna, austria",FALSE,16.2958525,48.2534323,2475.2475247524753,11.27335708657238,1,2
01513,Untersievering,734,1190,hackenberggasse,13,451/1,991,Kaufvertrag,W,I,7.5,o gk,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",2,J,28.10.2015,NA,1,1,1980,259/2016,2000000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"hackenberggasse, 13, vienna, austria",FALSE,16.3268886,48.24570199999999,2018.1634712411706,10.978827322137686,1,2
01514,Währing,2333,1180,max-emanuel-strasse,17,1083/1,2071,Kaufvertrag,WII/GBII,NA,NA,NA,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",NA,NA,16.08.1993,1/1,1,1,1922,4743/93,1962167,0,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"max-emanuel-strasse, 17, vienna, austria",TRUE,16.331216,48.2365448,947.4490584258812,9.887904565636736,1,2
01514,Währing,2133,1180,rimplergasse,2,613/8,1077,Kaufvertrag,W,II,10.5,o,NA,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",2,J,03.02.2012,NA,1,1,NA,1513/2012,1950000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"rimplergasse, 2, vienna, austria",TRUE,16.3293014,48.2354724,1810.5849582172702,10.822240158754852,1,2
01510,Pötzleinsdorf,320,1190,poetzleinsdorfer strasse,84,140/1,653,Kaufvertrag,W,I,7.5,g,Schutzzone,FALSCH,FALSCH,FALSCH,FALSCH,NA,"Ein-, Zweifamilienhaus",2,J,03.07.2013,NA,1,1,1960,4257/2013,1950000,NA,FALSCH,100,FALSCH,NA,NA,FALSCH,NA,NA,"poetzleinsdorfer strasse, 84, vienna, austria",FALSE,16.3094646,48.2422338,2986.217457886677,11.54410351175263,0,NA
